Date	Returns
2007/8/15	-19.84
2007/8/17	34.67
2007/8/22	16.95
2007/8/24	16.87
2007/8/28	-34.43
2007/8/29	31.4
2007/8/31	16.35
2007/9/4	15.43
2007/9/5	-17.13
2007/9/7	-25
2007/9/11	19.79
2007/9/18	43.13
2007/10/1	20.29
2007/10/19	-39.45
2007/10/26	20.88
2007/10/31	18.36
2007/11/1	-40.94
2007/11/6	18.1
2007/11/7	-44.65
2007/11/9	-21.07
2007/11/13	41.87
2007/11/15	-19.43
2007/11/19	-25.47
2007/11/21	-22.93
2007/11/23	23.93
2007/11/26	-33.48
2007/11/27	21.01
2007/11/28	40.79
2007/12/5	22.22
2007/12/6	22.33
2007/12/11	-38.31
2007/12/14	-20.46
2007/12/17	-22.05
2007/12/21	24.34
2007/12/27	-21.39
2008/1/2	-21.2
2008/1/4	-35.53
2008/1/8	-25.99
2008/1/9	18.94
2008/1/11	-19.31
2008/1/14	15.23
2008/1/15	-35.3
2008/1/17	-39.95
2008/1/23	28.1
2008/1/25	-21.46
2008/1/28	23.35
2008/1/31	22.74
2008/2/1	16.87
2008/2/5	-44.18
2008/2/13	18.35
2008/2/14	-18.35
2008/2/21	-17.5
2008/2/25	18.69
2008/2/29	-37.05
2008/3/6	-29.36
2008/3/10	-20
2008/3/11	47.28
2008/3/14	-27.34
2008/3/18	54.14
2008/3/19	-32.32
2008/3/20	31.09
2008/3/24	20.37
2008/3/27	-15.37
2008/4/1	47.48
2008/4/11	-27.72
2008/4/16	30.28
2008/4/18	24.77
2008/5/1	23.75
2008/5/7	-25.69
2008/5/12	15.3
2008/5/15	14.91
2008/5/21	-22.69
2008/5/23	-18.42
2008/6/5	26.85
2008/6/6	-43.37
2008/6/11	-22.95
2008/6/13	20.16
2008/6/20	-24.9
2008/6/26	-38.82
2008/7/2	-23.39
2008/7/8	21.39
2008/7/9	-29.01
2008/7/16	30.45
2008/7/17	14.96
2008/7/22	17
2008/7/24	-29.65
2008/7/28	-23.39
2008/7/29	28.83
2008/7/30	21.06
2008/7/31	-16.88
2008/8/5	35.87
2008/8/7	-23.12
2008/8/8	30.25
2008/8/12	-15.73
2008/8/18	-19.6
2008/8/25	-25.36
2008/8/28	19.02
2008/8/29	-17.85
